CODE,TRN409H1-S-20229-LEC-0101,TRN409H1-S-20229-LEC-0201,TRN409H1-S-20229-LEC-0301,TRN409H1-S-20229-LEC-0401
CAP,12,16,16,16
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,0,0,0,0
1657560905,0,0,0,0
1657592491,0,0,0,0
1657598166,0,0,0,0
1657657537,11,8,18,7
1657659562,11,8,18,7
1657678580,11,8,18,7
1657700377,11,8,18,7
1657734892,12,8,18,8
1657736031,12,8,18,8
1657737680,12,8,18,8
1657744796,12,8,18,8
1657780717,12,8,18,8
1657815723,12,8,18,8
1657827444,12,8,18,8
1657841424,12,8,18,8
1657851524,12,8,18,8
1657853756,12,8,18,8
1657868023,12,8,18,8
1657911025,12,8,18,9
1657914749,12,8,18,9
1657938204,12,8,18,9
1657991885,12,9,18,9
1658011963,12,9,18,9
1658085387,12,9,18,9
1658086283,12,9,18,9
1658101152,12,9,18,9
1658101473,12,9,18,9
1658117893,12,9,18,9
1658120808,12,9,18,9
1658149282,12,9,18,9
1658163609,12,9,18,9
1658192584,12,9,18,9
1658255580,12,10,18,9
1658255781,12,10,18,9
1658265969,12,10,18,9
1658282799,12,10,18,9
1658284132,12,10,18,9
1658341011,12,11,18,9
1658425310,12,11,17,9
1658438101,12,11,17,9
1658446157,12,11,17,9
1658446785,12,11,17,9
1658460004,12,11,17,9
1658514131,12,11,17,10
