CODE,JNR301H1-F-20229-LEC-0101
CAP,85
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,15
1657736010,15
1657737663,15
1657744779,15
1657780708,15
1657815709,15
1657827433,15
1657841414,15
1657851506,15
1657853745,15
1657868013,15
1657911016,19
1657914736,19
1657938194,19
1657991875,19
1658011950,19
1658085371,21
1658086263,21
1658101142,21
1658101460,21
1658117879,21
1658120793,21
1658149259,22
1658163599,22
1658192570,22
1658255570,21
1658255771,21
1658265950,21
1658282790,21
1658284116,21
1658341001,21
1658425295,22
1658438086,22
1658446145,22
1658446771,22
1658459993,22
1658514122,22
1658536177,22
1658552496,22
1658614184,21
1658631640,21
1658698072,21
1658768579,20
1658788810,20
1658856123,20
1658878855,20
1658879061,20
1658965224,20
1659041771,20
1659049567,20
1659055044,20
1659106101,20
1659116089,20
1659126296,20
1659137072,20
1659154611,20
1659160554,20
1659197509,22
1659228141,22
1659229848,22
1659252431,22
1659298084,22
