CODE,RLG415H1-F-20229-LEC-0101
CAP,12
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,10
1657659549,10
1657678570,10
1657700365,10
1657734871,11
1657736010,11
1657737663,11
1657744779,11
1657780708,11
1657815709,12
1657827433,12
1657841414,12
1657851506,12
1657853745,12
1657868013,12
1657911016,12
1657914736,12
1657938194,12
1657991875,12
1658011950,12
1658085371,11
1658086263,11
1658101142,11
1658101460,11
1658117879,11
1658120793,11
1658149259,11
1658163599,11
1658192570,11
1658255570,11
1658255771,11
1658265950,11
1658282790,11
1658284116,11
1658341001,11
1658425295,11
1658438086,11
1658446145,11
1658446771,11
1658459993,11
1658514122,12
1658536177,12
1658552496,12
1658614184,12
1658631640,12
1658698072,12
1658768579,12
1658788810,12
1658856123,12
1658878855,12
1658879061,12
1658965224,12
1659041771,12
1659049567,12
1659055044,12
1659106101,12
1659116089,12
1659126296,12
1659137072,12
1659154611,12
1659160554,12
1659197509,13
1659228141,13
1659229848,13
1659252431,13
1659298084,13
