CODE,HIS389H1-S-20229-LEC-0101,HIS389H1-S-20229-LEC-0201,HIS389H1-S-20229-LEC-0301,HIS389H1-S-20229-LEC-0401
CAP,45,45,45,45
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,0,0,0,0
1657560905,0,0,0,0
1657592491,0,0,0,0
1657598166,0,0,0,0
1657657537,2,2,10,10
1657659562,2,2,10,10
1657678580,2,2,10,10
1657700377,2,2,10,10
1657734892,2,2,10,10
1657736031,2,2,10,10
1657737680,2,2,10,10
1657744796,2,2,10,10
1657780717,2,2,10,10
1657815723,2,2,10,10
1657827444,2,2,10,10
1657841424,2,2,10,10
1657851524,2,2,10,10
1657853756,2,2,10,10
1657868023,2,2,10,10
1657911025,3,2,18,13
1657914749,3,2,18,13
1657938204,3,2,18,13
1657991885,3,2,19,14
1658011963,3,2,19,14
1658085387,3,2,19,14
1658086283,3,2,19,14
1658101152,3,2,19,14
1658101473,3,2,19,14
1658117893,3,2,19,14
1658120808,3,2,19,14
1658149282,3,2,19,14
1658163609,3,2,19,14
1658192584,3,2,19,14
1658255580,4,4,22,14
1658255781,4,4,22,14
1658265969,4,4,22,14
1658282799,4,4,22,14
1658284132,4,4,22,14
1658341011,4,4,27,15
1658425310,4,4,26,15
1658438101,4,4,26,15
1658446157,4,4,26,15
1658446785,4,4,26,15
1658460004,4,4,26,15
1658514131,5,4,27,16
