CODE,PSY230H1-S-20229-LEC-0101
CAP,188
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,16
1657914749,16
1657938204,16
1657991885,16
1658011963,16
1658085387,16
1658086283,16
1658101152,16
1658101473,16
1658117893,16
1658120808,16
1658149282,17
1658163609,17
1658192584,17
1658255580,94
1658255781,94
1658265969,94
1658282799,94
1658284132,94
1658341011,95
1658425310,96
1658438101,96
1658446157,96
1658446785,96
1658460004,96
1658514131,95
1658536189,95
1658552506,95
1658614194,95
1658631652,95
1658698082,95
1658768591,95
1658788819,95
1658856132,95
1658878866,95
1658879072,95
1658965232,95
1659041782,94
1659049575,94
1659055055,94
1659106110,93
1659116097,93
1659126308,93
1659137081,93
1659154622,93
1659160562,93
1659197518,187
1659228149,187
1659229856,187
1659252439,187
1659298092,189
