CODE,ARH440H1-F-20229-LEC-0101
CAP,12
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,9
1657659549,9
1657678570,9
1657700365,9
1657734871,9
1657736010,9
1657737663,9
1657744779,9
1657780708,9
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,12
1657914736,12
1657938194,12
1657991875,12
1658011950,12
1658085371,12
1658086263,12
1658101142,12
1658101460,12
1658117879,12
1658120793,12
1658149259,12
1658163599,12
1658192570,12
1658255570,12
1658255771,12
1658265950,12
1658282790,12
1658284116,12
1658341001,12
1658425295,12
1658438086,12
1658446145,12
1658446771,12
1658459993,12
1658514122,12
1658536177,12
1658552496,12
1658614184,12
1658631640,12
1658698072,12
1658768579,12
1658788810,12
1658856123,12
1658878855,12
1658879061,12
1658965224,12
1659041771,12
1659049567,12
1659055044,12
1659106101,12
1659116089,12
1659126296,12
1659137072,12
1659154611,12
1659160554,12
1659197509,14
1659228141,14
1659229848,14
1659252431,14
1659298084,14
