CODE,JNS450H1-S-20229-LEC-0101
CAP,21
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,8
1657736031,8
1657737680,8
1657744796,8
1657780717,8
1657815723,8
1657827444,8
1657841424,8
1657851524,8
1657853756,8
1657868023,8
1657911025,10
1657914749,10
1657938204,10
1657991885,10
1658011963,10
1658085387,10
1658086283,10
1658101152,10
1658101473,10
1658117893,10
1658120808,10
1658149282,10
1658163609,10
1658192584,10
1658255580,14
1658255781,14
1658265969,14
1658282799,14
1658284132,14
1658341011,14
1658425310,15
1658438101,15
1658446157,15
1658446785,15
1658460004,15
1658514131,15
