CODE,CSC148H1-S-20229-LEC-0101,CSC148H1-S-20229-LEC-0102,CSC148H1-S-20229-LEC-0201,CSC148H1-S-20229-LEC-0301,CSC148H1-S-20229-LEC-0401,CSC148H1-S-20229-LEC-0402,CSC148H1-S-20229-LEC-5101
CAP,196,196,196,196,234,234,196
1656647697,0,0,0,0,0,0,0
1656655667,0,0,0,0,0,0,0
1656693731,0,0,0,0,0,0,0
1656799552,0,0,0,0,0,0,0
1657039041,0,0,0,0,0,0,0
1657124791,0,0,0,0,0,0,0
1657129909,0,0,0,0,0,0,0
1657154834,0,0,0,0,0,0,0
1657154935,0,0,0,0,0,0,0
1657157146,0,0,0,0,0,0,0
1657169433,0,0,0,0,0,0,0
1657171616,0,0,0,0,0,0,0
1657208573,0,0,0,0,0,0,0
1657224158,0,0,0,0,0,0,0
1657394896,0,0,0,0,0,0,0
1657522648,0,0,0,0,0,0,0
1657560905,0,0,0,0,0,0,0
1657592491,0,0,0,0,0,0,0
1657598166,0,0,0,0,0,0,0
1657657537,6,1,2,1,2,0,0
1657659562,6,1,2,1,2,0,0
1657678580,6,1,2,1,2,0,0
1657700377,6,1,2,1,2,0,0
1657734892,6,1,2,1,2,0,1
1657736031,6,1,2,1,2,0,1
1657737680,6,1,2,1,2,0,1
1657744796,6,1,2,1,2,0,1
1657780717,6,1,2,1,2,0,1
1657815723,6,1,2,2,1,0,1
1657827444,6,1,2,2,1,0,1
1657841424,6,1,2,2,1,0,1
1657851524,6,1,2,2,1,0,1
1657853756,6,1,2,2,1,0,1
1657868023,6,1,2,2,1,0,1
1657911025,10,4,4,5,3,0,2
1657914749,10,4,4,5,3,0,2
1657938204,10,4,4,5,3,0,2
1657991885,10,4,4,6,3,0,2
1658011963,10,4,4,6,3,0,2
1658085387,10,4,4,6,3,0,2
1658086283,10,4,4,6,3,0,2
1658101152,10,4,4,6,3,0,2
1658101473,10,4,4,6,3,0,2
1658117893,10,4,4,6,3,0,2
1658120808,10,4,4,6,3,0,2
1658149282,11,4,4,5,3,0,2
1658163609,11,4,4,5,3,0,2
1658192584,11,4,4,5,3,0,2
1658255580,21,6,5,8,4,0,4
1658255781,21,6,5,8,4,0,4
1658265969,21,6,5,8,4,0,4
1658282799,21,6,5,8,4,0,4
1658284132,21,6,5,8,4,0,4
1658341011,21,6,5,9,4,0,4
1658425310,20,6,6,9,4,0,4
1658438101,20,6,6,9,4,0,4
1658446157,20,6,6,9,4,0,4
1658446785,20,6,6,9,4,0,4
1658460004,20,6,6,9,4,0,4
1658514131,211,71,195,195,234,87,93
