CODE,SPA324H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,9
1657659562,9
1657678580,9
1657700377,9
1657734892,9
1657736031,9
1657737680,9
1657744796,9
1657780717,9
1657815723,10
1657827444,10
1657841424,10
1657851524,10
1657853756,10
1657868023,10
1657911025,17
1657914749,17
1657938204,17
1657991885,17
1658011963,17
1658085387,17
1658086283,17
1658101152,17
1658101473,17
1658117893,17
1658120808,17
1658149282,17
1658163609,17
1658192584,17
1658255580,20
1658255781,20
1658265969,20
1658282799,20
1658284132,20
1658341011,21
1658425310,21
1658438101,21
1658446157,21
1658446785,21
1658460004,21
1658514131,22
1658536189,22
1658552506,22
1658614194,23
1658631652,23
1658698082,23
1658768591,23
1658788819,23
1658856132,23
1658878866,23
1658879072,23
